playerId,gameweek,name,minutes-played,team,opponent,clean-sheet,goals-conceded,goals-scored,assists,yellow-cards,red-cards,bonus,total
449,1,Williams,90,SWA,MUN,0,1,0,0,0,0,0,2
450,1,Taylor,52,SWA,MUN,0,1,0,0,1,0,0,0
452,1,Rangel,90,SWA,MUN,0,1,0,0,0,0,0,2
456,1,Tiendalli,38,SWA,MUN,0,0,0,0,0,0,0,1
457,1,Amat,90,SWA,MUN,0,1,0,0,0,0,0,2
132,1,Jagielka,90,EVE,LEI,0,2,0,0,0,0,0,1
134,1,Baines,90,EVE,LEI,0,2,0,0,0,0,0,1
135,1,Distin,90,EVE,LEI,0,2,0,1,0,0,0,4
137,1,Coleman,6,EVE,LEI,0,1,0,0,0,0,0,1
139,1,Stones,90,EVE,LEI,0,2,0,0,0,0,0,1
158,1,Chester,90,HUL,QPR,1,0,1,0,0,0,3,15
159,1,McShane,45,HUL,QPR,0,0,0,0,0,0,0,1
161,1,Bruce,45,HUL,QPR,0,0,0,0,0,0,0,1
163,1,Davies,90,HUL,QPR,1,0,0,0,1,0,0,5
545,1,Robertson,90,HUL,QPR,1,0,0,0,0,0,1,7
34,1,Vlaar,90,AVL,STK,1,0,0,0,0,0,2,8
39,1,Senderos,90,AVL,STK,1,0,0,0,0,0,0,6
539,1,Hutton,90,AVL,STK,1,0,0,0,1,0,0,5
558,1,Cissokho,90,AVL,STK,1,0,0,0,0,0,0,6
424,1,O'Shea,90,SUN,WBA,0,2,0,0,0,0,0,1
425,1,Brown,80,SUN,WBA,0,2,0,0,0,0,0,1
427,1,Roberge,90,SUN,WBA,0,2,0,0,1,0,0,0
541,1,van Aanholt,90,SUN,WBA,0,2,0,1,0,0,0,4
366,1,Rose,90,TOT,WHU,1,0,0,0,0,0,0,6
368,1,Kaboul,90,TOT,WHU,1,0,0,0,0,0,1,7
370,1,Naughton,28,TOT,WHU,0,0,0,0,0,1,0,-2
548,1,Dier,90,TOT,WHU,1,0,1,0,0,0,3,15
106,1,Ward,90,CRY,ARS,0,2,0,0,0,0,0,1
107,1,Delaney,16,CRY,ARS,0,1,0,0,0,0,0,1
112,1,Dann,74,CRY,ARS,0,1,0,0,0,0,0,2
201,1,Kelly,90,CRY,ARS,0,2,0,0,1,0,0,0
547,1,Hangeland,90,CRY,ARS,0,2,1,0,0,0,0,7
259,1,Smalling,90,MUN,SWA,0,2,0,0,0,0,0,1
260,1,Jones,90,MUN,SWA,0,2,0,1,0,0,0,4
566,1,Blackett,90,MUN,SWA,0,2,0,0,1,0,0,0
180,1,Morgan,90,LEI,EVE,0,2,0,0,0,0,0,1
182,1,Moore,90,LEI,EVE,0,2,0,0,1,0,0,0
183,1,de Laet,90,LEI,EVE,0,2,0,0,0,0,0,1
184,1,Schlupp,27,LEI,EVE,0,0,0,0,0,0,0,1
185,1,Konchesky,90,LEI,EVE,0,2,0,0,0,0,0,1
320,1,Dunne,77,QPR,HUL,0,1,0,0,1,0,0,1
324,1,Simpson,67,QPR,HUL,0,1,0,0,0,0,0,2
529,1,Ferdinand,90,QPR,HUL,0,1,0,0,0,0,1,3
534,1,Caulker,90,QPR,HUL,0,1,0,0,0,0,0,2
398,1,Shawcross,90,STK,AVL,0,1,0,0,0,0,0,2
400,1,Wilson,90,STK,AVL,0,1,0,0,0,0,0,2
402,1,Pieters,90,STK,AVL,0,1,0,0,0,0,2,4
404,1,Bardsley,90,STK,AVL,0,1,0,0,0,0,0,2
207,1,Wisdom,90,WBA,SUN,0,2,0,0,0,0,0,1
478,1,Olsson,90,WBA,SUN,0,2,0,0,1,0,0,0
480,1,Dawson,90,WBA,SUN,0,2,0,0,1,0,0,0
484,1,Baird,14,WBA,SUN,0,1,0,0,0,0,0,1
485,1,Pocognoli,90,WBA,SUN,0,2,0,0,0,0,0,1
499,1,Collins,62,WHU,TOT,0,1,0,0,0,1,0,-1
500,1,O'Brien,61,WHU,TOT,1,0,0,0,0,0,2,8
501,1,Reid,90,WHU,TOT,0,1,0,0,0,0,0,2
502,1,Demel,29,WHU,TOT,0,1,0,0,0,0,0,1
506,1,Cresswell,90,WHU,TOT,0,1,0,0,0,0,0,2
2,1,Koscielny,90,ARS,CRY,0,1,1,0,0,0,2,10
4,1,Gibbs,52,ARS,CRY,0,1,0,0,0,0,0,1
7,1,Monreal,38,ARS,CRY,0,0,0,0,0,0,0,1
295,1,Debuchy,90,ARS,CRY,0,1,0,1,0,0,0,5
345,1,Chambers,90,ARS,CRY,0,1,0,0,1,0,0,1
84,1,Bertrand,90,SOU,LIV,0,2,0,0,0,0,0,1
341,1,Fonte,90,SOU,LIV,0,2,0,0,0,0,0,1
342,1,Clyne,90,SOU,LIV,0,2,1,0,0,0,2,9
343,1,Yoshida,90,SOU,LIV,0,2,0,0,0,0,0,1
233,1,Kolarov,90,MCI,NEW,1,0,0,0,1,0,0,5
236,1,Kompany,90,MCI,NEW,1,0,0,0,1,0,0,5
237,1,Clichy,90,MCI,NEW,1,0,0,0,0,0,3,9
241,1,Demichelis,90,MCI,NEW,1,0,0,0,1,0,0,5
79,1,Cahill,90,CHE,BUR,0,1,0,0,0,0,0,2
80,1,Terry,90,CHE,BUR,0,1,0,0,0,0,0,2
81,1,Ivanovic,90,CHE,BUR,0,1,1,0,0,0,2,10
82,1,Azpilicueta,90,CHE,BUR,0,1,0,0,0,0,0,2
60,1,Duff,90,BUR,CHE,0,3,0,0,0,0,0,1
61,1,Shackell,90,BUR,CHE,0,3,0,0,0,0,0,1
64,1,Mee,90,BUR,CHE,0,3,0,0,0,0,0,1
65,1,Trippier,90,BUR,CHE,0,3,0,0,0,0,0,1
202,1,Johnson,90,LIV,SOU,0,1,0,0,0,0,0,2
203,1,Skrtel,90,LIV,SOU,0,1,0,0,0,0,2,4
344,1,Lovren,90,LIV,SOU,0,1,0,0,0,0,0,2
550,1,Manquillo,90,LIV,SOU,0,1,0,0,1,0,0,1
290,1,Williamson,90,NEW,MCI,0,2,0,0,0,0,0,1
292,1,Coloccini,90,NEW,MCI,0,2,0,0,0,0,0,1
298,1,Dummett,90,NEW,MCI,0,2,0,0,0,0,0,1
527,1,Janmaat,90,NEW,MCI,0,2,0,0,1,0,0,0
290,2,Williamson,90,NEW,AVL,1,0,0,0,0,1,0,3
